qid	pid
0	d000000
0	d000001
0	d000002
1	d000003
1	d000004
1	d000005
2	d000006
2	d000007
2	d000008
2	d000009
2	d000010
2	d000011
2	d000012
3	d000013
3	d000014
3	d000015
3	d000016
4	d000017
4	d000018
4	d000019
4	d000020
4	d000021
4	d000022
4	d000023
4	d000024
4	d000025
4	d000026
4	d000027
4	d000028
4	d000029
4	d000030
4	d000031
4	d000032
4	d000033
4	d000034
5	d000035
5	d000036
5	d000037
5	d000038
6	d000039
6	d000040
6	d000041
6	d000042
6	d000043
6	d000044
6	d000045
6	d000046
7	d000047
7	d000048
7	d000049
7	d000050
7	d000051
7	d000052
7	d000053
7	d000054
7	d000055
7	d000056
8	d000057
8	d000058
8	d000059
8	d000060
8	d000061
8	d000062
8	d000063
8	d000064
8	d000065
8	d000066
9	d000067
9	d000068
9	d000069
9	d000070
9	d000071
10	d000072
10	d000073
10	d000074
12	d000075
12	d000076
12	d000077
13	d000078
13	d000079
13	d000080
14	d000081
14	d000082
14	d000083
14	d000084
14	d000085
14	d000086
14	d000087
15	d000088
17	d000090
17	d000091
17	d000092
17	d000093
17	d000094
18	d000095
18	d000096
18	d000097
18	d000098
18	d000099
18	d000100
18	d000101
18	d000102
18	d000103
20	d000106
20	d000107
20	d000108
20	d000109
20	d000110
21	d000111
21	d000112
21	d000113
21	d000114
21	d000115
21	d000116
21	d000117
21	d000118
21	d000119
21	d000120
21	d000121
22	d000122
22	d000123
22	d000124
