qid	text
identifier-001	020-85501999
identifier-002	020-87113993
identifier-003	021-34680087
identifier-004	021-50276099
identifier-005	021-65981604
identifier-006	0311-69009633
identifier-007	0311-85815152
identifier-008	0427-3122567
identifier-009	0519-68218888
identifier-010	0533-5285166
identifier-011	0536-6722315
identifier-012	0571-26883338
identifier-013	0571-28007666
identifier-014	0571-28090163
identifier-015	0755-83765566
identifier-016	0757-63360780
identifier-017	0871-63959335
identifier-018	0898-31817733
identifier-019	MFCD00002831
identifier-020	CR400BF-A/B
