qid	pid
multi-hop-001:first	d000000
multi-hop-001:first	d000001
multi-hop-001:first	d000002
multi-hop-001:second	d000232
multi-hop-001:second	d000233
multi-hop-001:second	d000234
multi-hop-001:second	d000235
multi-hop-001:second	d000236
multi-hop-001:second	d000237
multi-hop-001:second	d000238
multi-hop-001:second	d000239
multi-hop-001:second	d000240
multi-hop-001:second	d000241
multi-hop-001:second	d000242
multi-hop-001:second	d000243
multi-hop-001:second	d000244
multi-hop-001:second	d000245
multi-hop-001:second	d000246
multi-hop-001:second	d000247
multi-hop-002:first	d000003
multi-hop-002:first	d000004
multi-hop-002:first	d000005
multi-hop-002:second	d000248
multi-hop-002:second	d000249
multi-hop-002:second	d000250
multi-hop-003:first	d000006
multi-hop-003:first	d000007
multi-hop-003:first	d000008
multi-hop-003:first	d000009
multi-hop-003:first	d000010
multi-hop-003:first	d000011
multi-hop-003:first	d000012
multi-hop-003:second	d000251
multi-hop-003:second	d000252
multi-hop-003:second	d000253
multi-hop-003:second	d000254
multi-hop-003:second	d000255
multi-hop-003:second	d000256
multi-hop-003:second	d000257
multi-hop-003:second	d000258
multi-hop-003:second	d000259
multi-hop-003:second	d000260
multi-hop-003:second	d000261
multi-hop-004:first	d000013
multi-hop-004:first	d000014
multi-hop-004:first	d000015
multi-hop-004:first	d000016
multi-hop-004:second	d000262
multi-hop-004:second	d000263
multi-hop-005:first	d000017
multi-hop-005:first	d000018
multi-hop-005:first	d000019
multi-hop-005:first	d000020
multi-hop-005:first	d000021
multi-hop-005:first	d000022
multi-hop-005:first	d000023
multi-hop-005:first	d000024
multi-hop-005:first	d000025
multi-hop-005:first	d000026
multi-hop-005:first	d000027
multi-hop-005:first	d000028
multi-hop-005:first	d000029
multi-hop-005:first	d000030
multi-hop-005:first	d000031
multi-hop-005:first	d000032
multi-hop-005:first	d000033
multi-hop-005:first	d000034
multi-hop-005:second	d000264
multi-hop-005:second	d000265
multi-hop-006:first	d000035
multi-hop-006:first	d000036
multi-hop-006:first	d000037
multi-hop-006:first	d000038
multi-hop-006:second	d000266
multi-hop-006:second	d000267
multi-hop-007:first	d000039
multi-hop-007:first	d000040
multi-hop-007:first	d000041
multi-hop-007:first	d000042
multi-hop-007:first	d000043
multi-hop-007:first	d000044
multi-hop-007:first	d000045
multi-hop-007:first	d000046
multi-hop-007:second	d000268
multi-hop-007:second	d000269
multi-hop-007:second	d000270
multi-hop-007:second	d000271
multi-hop-008:first	d000047
multi-hop-008:first	d000048
multi-hop-008:first	d000049
multi-hop-008:first	d000050
multi-hop-008:first	d000051
multi-hop-008:first	d000052
multi-hop-008:first	d000053
multi-hop-008:first	d000054
multi-hop-008:first	d000055
multi-hop-008:first	d000056
multi-hop-008:second	d000272
multi-hop-008:second	d000273
multi-hop-009:first	d000057
multi-hop-009:first	d000058
multi-hop-009:first	d000059
multi-hop-009:first	d000060
multi-hop-009:first	d000061
multi-hop-009:first	d000062
multi-hop-009:first	d000063
multi-hop-009:first	d000064
multi-hop-009:first	d000065
multi-hop-009:first	d000066
multi-hop-009:second	d000274
multi-hop-010:first	d000067
multi-hop-010:first	d000068
multi-hop-010:first	d000069
multi-hop-010:first	d000070
multi-hop-010:first	d000071
multi-hop-010:second	d000275
multi-hop-010:second	d000276
multi-hop-011:first	d000072
multi-hop-011:first	d000073
multi-hop-011:first	d000074
multi-hop-011:second	d000277
multi-hop-011:second	d000278
multi-hop-011:second	d000279
multi-hop-011:second	d000280
multi-hop-011:second	d000281
multi-hop-012:first	d000075
multi-hop-012:first	d000076
multi-hop-012:first	d000077
multi-hop-012:second	d000282
multi-hop-012:second	d000283
multi-hop-013:first	d000078
multi-hop-013:first	d000079
multi-hop-013:first	d000080
multi-hop-013:second	d000284
multi-hop-013:second	d000285
multi-hop-013:second	d000286
multi-hop-013:second	d000287
multi-hop-013:second	d000288
multi-hop-013:second	d000289
multi-hop-013:second	d000290
multi-hop-014:first	d000081
multi-hop-014:first	d000082
multi-hop-014:first	d000083
multi-hop-014:first	d000084
multi-hop-014:first	d000085
multi-hop-014:first	d000086
multi-hop-014:first	d000087
multi-hop-014:second	d000291
multi-hop-014:second	d000292
multi-hop-014:second	d000293
multi-hop-014:second	d000294
multi-hop-014:second	d000295
multi-hop-015:first	d000088
multi-hop-015:second	d000296
multi-hop-015:second	d000297
multi-hop-015:second	d000298
multi-hop-015:second	d000299
multi-hop-015:second	d000300
multi-hop-015:second	d000301
multi-hop-015:second	d000302
multi-hop-015:second	d000303
multi-hop-015:second	d000304
multi-hop-016:first	d000089
multi-hop-016:second	d000305
multi-hop-017:first	d000090
multi-hop-017:first	d000091
multi-hop-017:first	d000092
multi-hop-017:first	d000093
multi-hop-017:first	d000094
multi-hop-017:second	d000306
multi-hop-017:second	d000307
multi-hop-017:second	d000308
multi-hop-017:second	d000309
multi-hop-018:first	d000095
multi-hop-018:first	d000096
multi-hop-018:first	d000097
multi-hop-018:first	d000098
multi-hop-018:first	d000099
multi-hop-018:first	d000100
multi-hop-018:first	d000101
multi-hop-018:first	d000102
multi-hop-018:first	d000103
multi-hop-018:second	d000310
multi-hop-018:second	d000311
multi-hop-018:second	d000312
multi-hop-018:second	d000313
multi-hop-018:second	d000314
multi-hop-018:second	d000315
multi-hop-018:second	d000316
multi-hop-019:first	d000104
multi-hop-019:first	d000105
multi-hop-019:second	d000317
multi-hop-019:second	d000318
multi-hop-019:second	d000319
multi-hop-019:second	d000320
multi-hop-019:second	d000321
multi-hop-020:first	d000106
multi-hop-020:first	d000107
multi-hop-020:first	d000108
multi-hop-020:first	d000109
multi-hop-020:first	d000110
multi-hop-020:second	d000322
multi-hop-020:second	d000323
multi-hop-020:second	d000324
multi-hop-021:first	d000111
multi-hop-021:first	d000112
multi-hop-021:first	d000113
multi-hop-021:first	d000114
multi-hop-021:first	d000115
multi-hop-021:first	d000116
multi-hop-021:first	d000117
multi-hop-021:first	d000118
multi-hop-021:first	d000119
multi-hop-021:first	d000120
multi-hop-021:first	d000121
multi-hop-021:second	d000325
multi-hop-021:second	d000326
multi-hop-021:second	d000327
multi-hop-021:second	d000328
multi-hop-022:first	d000122
multi-hop-022:first	d000123
multi-hop-022:first	d000124
multi-hop-022:second	d000329
multi-hop-022:second	d000330
multi-hop-022:second	d000331
multi-hop-023:first	d000125
multi-hop-023:first	d000126
multi-hop-023:first	d000127
multi-hop-023:second	d000332
multi-hop-023:second	d000333
multi-hop-023:second	d000334
multi-hop-024:first	d000128
multi-hop-024:first	d000129
multi-hop-024:first	d000130
multi-hop-024:first	d000131
multi-hop-024:second	d000335
multi-hop-024:second	d000336
multi-hop-024:second	d000337
multi-hop-024:second	d000338
multi-hop-024:second	d000339
multi-hop-024:second	d000340
multi-hop-025:first	d000132
multi-hop-025:first	d000133
multi-hop-025:first	d000134
multi-hop-025:first	d000135
multi-hop-025:first	d000136
multi-hop-025:second	d000341
multi-hop-025:second	d000342
multi-hop-025:second	d000343
multi-hop-026:first	d000137
multi-hop-026:first	d000138
multi-hop-026:second	d000344
multi-hop-026:second	d000345
multi-hop-026:second	d000346
multi-hop-026:second	d000347
multi-hop-026:second	d000348
multi-hop-026:second	d000349
multi-hop-026:second	d000350
multi-hop-026:second	d000351
multi-hop-026:second	d000352
multi-hop-026:second	d000353
multi-hop-026:second	d000354
multi-hop-026:second	d000355
multi-hop-026:second	d000356
multi-hop-026:second	d000357
multi-hop-026:second	d000358
multi-hop-026:second	d000359
multi-hop-027:first	d000139
multi-hop-027:first	d000140
multi-hop-027:first	d000141
multi-hop-027:first	d000142
multi-hop-027:first	d000143
multi-hop-027:first	d000144
multi-hop-027:first	d000145
multi-hop-027:first	d000146
multi-hop-027:first	d000147
multi-hop-027:first	d000148
multi-hop-027:first	d000149
multi-hop-027:second	d000360
multi-hop-027:second	d000361
multi-hop-027:second	d000362
multi-hop-027:second	d000363
multi-hop-027:second	d000364
multi-hop-027:second	d000365
multi-hop-027:second	d000366
multi-hop-028:first	d000150
multi-hop-028:first	d000151
multi-hop-028:first	d000152
multi-hop-028:second	d000367
multi-hop-028:second	d000368
multi-hop-028:second	d000369
multi-hop-029:first	d000153
multi-hop-029:first	d000154
multi-hop-029:first	d000155
multi-hop-029:first	d000156
multi-hop-029:second	d000370
multi-hop-029:second	d000371
multi-hop-030:first	d000157
multi-hop-030:first	d000158
multi-hop-030:first	d000159
multi-hop-030:first	d000160
multi-hop-030:first	d000161
multi-hop-030:first	d000162
multi-hop-030:first	d000163
multi-hop-030:second	d000372
multi-hop-030:second	d000373
multi-hop-031:first	d000164
multi-hop-031:first	d000165
multi-hop-031:first	d000166
multi-hop-031:first	d000167
multi-hop-031:first	d000168
multi-hop-031:first	d000169
multi-hop-031:first	d000170
