qid	pid
multi-hop-v2-001:first	d000001
multi-hop-v2-001:second	d000225
multi-hop-v2-002:first	d000003
multi-hop-v2-002:second	d000233
multi-hop-v2-002:second	d000244
multi-hop-v2-003:first	d000007
multi-hop-v2-003:first	d000008
multi-hop-v2-003:second	d000249
multi-hop-v2-004:first	d000014
multi-hop-v2-004:first	d000016
multi-hop-v2-004:second	d000253
multi-hop-v2-004:second	d000255
multi-hop-v2-005:first	d000017
multi-hop-v2-005:first	d000025
multi-hop-v2-005:second	d000271
multi-hop-v2-006:first	d000039
multi-hop-v2-006:second	d000275
multi-hop-v2-007:first	d000003
multi-hop-v2-007:second	d000164
multi-hop-v2-007:second	d000168
multi-hop-v2-008:first	d000072
multi-hop-v2-008:first	d000073
multi-hop-v2-008:second	d000283
multi-hop-v2-009:first	d000007
multi-hop-v2-009:first	d000008
multi-hop-v2-009:second	d000174
multi-hop-v2-010:first	d000014
multi-hop-v2-010:first	d000016
multi-hop-v2-010:second	d000185
multi-hop-v2-011:first	d000017
multi-hop-v2-011:first	d000025
multi-hop-v2-011:second	d000190
multi-hop-v2-012:first	d000095
multi-hop-v2-012:first	d000101
multi-hop-v2-012:second	d000306
multi-hop-v2-012:second	d000309
multi-hop-v2-013:first	d000106
multi-hop-v2-013:first	d000108
multi-hop-v2-013:second	d000310
multi-hop-v2-013:second	d000316
multi-hop-v2-014:first	d000111
multi-hop-v2-014:first	d000118
multi-hop-v2-014:second	d000317
multi-hop-v2-014:second	d000321
multi-hop-v2-015:first	d000122
multi-hop-v2-015:first	d000123
multi-hop-v2-015:second	d000323
multi-hop-v2-016:first	d000125
multi-hop-v2-016:first	d000126
multi-hop-v2-016:second	d000346
multi-hop-v2-016:second	d000359
multi-hop-v2-017:first	d000129
multi-hop-v2-017:second	d000360
multi-hop-v2-017:second	d000362
multi-hop-v2-018:first	d000133
multi-hop-v2-018:first	d000136
multi-hop-v2-018:second	d000367
multi-hop-v2-018:second	d000368
multi-hop-v2-019:first	d000139
multi-hop-v2-019:first	d000149
multi-hop-v2-019:second	d000370
multi-hop-v2-020:first	d000072
multi-hop-v2-020:first	d000073
multi-hop-v2-020:second	d000221
multi-hop-v2-021:first	d000095
multi-hop-v2-021:first	d000101
multi-hop-v2-021:second	d000225
multi-hop-v2-022:first	d000157
multi-hop-v2-022:second	d000386
multi-hop-v2-023:first	d000164
multi-hop-v2-023:first	d000168
multi-hop-v2-023:second	d000398
multi-hop-v2-024:first	d000174
multi-hop-v2-024:second	d000413
multi-hop-v2-025:first	d000106
multi-hop-v2-025:first	d000108
multi-hop-v2-025:second	d000233
multi-hop-v2-025:second	d000244
multi-hop-v2-026:first	d000185
multi-hop-v2-026:second	d000432
multi-hop-v2-027:first	d000111
multi-hop-v2-027:first	d000118
multi-hop-v2-027:second	d000249
multi-hop-v2-028:first	d000190
multi-hop-v2-028:second	d000439
multi-hop-v2-029:first	d000192
multi-hop-v2-029:second	d000455
multi-hop-v2-030:first	d000122
multi-hop-v2-030:first	d000123
multi-hop-v2-030:second	d000253
